title,简介,豆瓣评分,链接,创建时间,我的评分,标签,评论,可见性
星际牛仔,1998 / 日本 / 剧情 动作 科幻 动画 犯罪 西部 / 渡边信一郎 佐藤顺一 森邦宏 渡边哲哉 佐藤育郎 山田弘和 武井良幸 / 山寺宏一 石冢运升,9.6,https://movie.douban.com/subject/1424406/,2025-04-26 09:42:24,,,,public
星际牛仔 天国之门,2001 / 日本 美国 / 剧情 喜剧 动作 科幻 动画 惊悚 犯罪 / 渡边信一郎 / 山寺宏一 石冢运升,9.0,https://movie.douban.com/subject/1307031/,2025-04-26 09:42:22,,,,public
夏日大作战,2009 / 日本 / 喜剧 科幻 动画 家庭 冒险 / 细田守 / 神木隆之介 宫内瞳,8.5,https://movie.douban.com/subject/3908423/,2025-05-02 22:13:53,,,,public
大地惊雷,2010 / 美国 / 剧情 西部 冒险 / 乔尔·科恩 伊桑·科恩 / 杰夫·布里吉斯 海莉·斯坦菲尔德,8.4,https://movie.douban.com/subject/3626372/,2025-03-22 09:27:34,5,,,public
九品芝麻官,1994 / 中国香港 / 剧情 喜剧 古装 / 王晶 / 周星驰 吴孟达,8.8,https://movie.douban.com/subject/1297518/,2025-01-22 01:23:42,,,,public
饮食男女,1994 / 中国台湾 美国 / 剧情 家庭 / 李安 / 郎雄 杨贵媚,9.2,https://movie.douban.com/subject/1291818/,2025-01-22 01:23:15,,,,public
阳光灿烂的日子,1994 / 中国大陆 中国香港 / 剧情 爱情 / 姜文 / 夏雨 宁静,8    .8,https://movie.douban.com/subject/1291875/,2025-01-22 01:23:07,,,,public
红色一号：冬日行动,2024 / 美国 / 喜剧 动作 悬疑 冒险 / 杰克·卡斯丹 / 道恩·强森 克里斯·埃文斯,5.8,https://movie.douban.com/subject/35516034/,2025-01-22 01:22:52,,,,public
无耻混蛋,2009 / 德国 美国 / 剧情 犯罪 / 昆汀·塔伦蒂诺 / 布拉德·皮特 梅拉尼·罗兰,8.7,https://movie.douban.com/subject/1438652/,2025-01-22 01:17:04,,,,public
007：无暇赴死,2021 / 英国 美国 / 动作 惊悚 冒险 / 凯瑞·福永 / 丹尼尔·克雷格 蕾雅·赛杜,6.6,https://movie.douban.com/subject/20276229/,2025-01-22 01:15:11,,,,public
低俗小说,1994 / 美国 / 剧情 喜剧 犯罪 / 昆汀·塔伦蒂诺 / 约翰·特拉沃尔塔 乌玛·瑟曼,8.9,https://movie.douban.com/subject/1291832/,2025-01-22 01:13:24,,,,public
活着,1994 / 中国大陆 中国香港 / 剧情 家庭 历史 / 张艺谋 / 葛优 巩俐,9.3,https://movie.douban.com/subject/1292365/,2025-01-22 01:13:18,,,,public
阿甘正传,1994 / 美国 / 剧情 爱情 / 罗伯特·泽米吉斯 / 汤姆·汉克斯 罗宾·怀特,9.5,https://movie.douban.com/subject/1292720/,2025-01-22 01:12:58,,,,public
这个杀手不太冷,1994 / 法国 美国 / 剧情 动作 犯罪 / 吕克·贝松 / 让·雷诺 娜塔莉·波特曼,9.4,https://movie.douban.com/subject/1295644/,2025-01-22 01:12:16,,,,public
肖申克的救赎,1994 / 美国 / 剧情 犯罪 / 弗兰克·德拉邦特 / 蒂姆·罗宾斯 摩根·弗里曼,9.7,https://movie.douban.com/subject/1292052/,2025-01-22 01:12:10,,,,public
